a,a,ɶ,ä,ɑ,ɒ,æ,ɐ  # とりあえず日本語で使うのに十分なものだけにしよう
i,i,y,ɨ,ɪ,ʏ,ɪ̈
u,ʉ,ɯ,u,ʊ̈,ɯ̽,ʊ
e,e,ø,ɘ,e̞,ø̞,ə,ɛ,œ,ɜ,æ,ɐ
o,ɵ,ɤ,o,ə,ɤ̞,o̞,ɞ,ʌ,ɔ
k,k,qc 
g, ɡ 	 ɢ,ɟ
sh,ʃ,ʂ
j,ʒʐ
s,ʂθ s 
z,ʐðz
th,θ
dh,ð
h,x ɣχ ʁħ ʕ 	h ɦɬ ɮ
m,  m 	  ɱ 	
n,  n 	  ɳ 	  ɲ 	  ŋ 	  ɴ
r,ʋ,ɹ,ɻ,l,ɭ  r  ʀⱱ 	  ɾ 	  ɽ
p,p 
b,b
f,ɸ  	f 
v,vβ
t,tʈ  
d,dɖ
